"Year","Arena","Antibiotic","Reinoculation","Treatment","Moy_Prop_time_moving","Moy_Average_Speed","Mean_dist","nb of bump","nb of avoidance","nb of head-to-head","nb of touch","nb of antennal interaction"
2024,1,"low","yes","low_yes",0.270846848182677,0.549077128811441,4.46065733684132,24,0,0,20,20
2024,10,"high","no","high_no",0.212381818181818,0.39825924342103,2.42436863777257,3,2,9,15,24
2024,11,"high","yes","high_yes",0.498354545454545,0.847869468327425,4.78421048366251,15,3,0,15,15
2024,12,"low","yes","low_yes",0.642054545454545,1.12763959869195,5.55292826013471,17,4,2,25,27
2024,13,"zero","no","zero_no",0.192436363636363,0.365016840373722,2.57062465394578,10,0,1,8,9
2024,14,"low","no","low_no",0.4162,0.70264758497299,4.89280299649992,19,2,2,31,33
2024,15,"low","no","low_no",0.276772727272727,0.46919805722146,4.53372216272405,11,2,1,14,15
2024,2,"low","no","low_no",0.723064519118492,1.46739508654236,4.79662739160546,26,0,1,30,31
2024,3,"high","no","high_no",0.333651511500751,0.622050548696848,5.5835798502142,5,0,3,10,13
2024,4,"high","yes","high_yes",0.433729357032973,0.655740263038882,4.20001125072264,23,4,6,16,22
2024,5,"zero","no","zero_no",0.169675458269234,0.313734117301779,4.63554727033609,7,0,3,5,8
2024,6,"low","yes","low_yes",0.0343076381294831,0.099313897310162,6.49442347760511,1,0,0,0,0
2024,7,"high","no","high_no",0.273108075547235,0.543535408247875,4.08896201981111,11,0,3,12,15
2024,8,"zero","no","zero_no",0.676811298722962,1.48905620233381,5.42500001093186,16,7,2,26,28
2025,16,"low","no","low_no",0.117608729648486,0.221086286964411,6.88172431669205,5,0,2,12,14
2025,17,"high","yes","high_yes",0.494613473267189,1.03780763635331,5.62212043671991,13,4,6,31,37
2025,18,"high","no","high_no",0.358681864780803,0.826352706299897,5.16919663650104,18,1,1,17,18
2025,19,"high","yes","high_yes",0.1577731055933,0.34072815115353,3.04439740548075,9,0,3,10,13
2025,20,"low","yes","low_yes",0.175342066427387,0.293018351362674,1.37080481338695,0,0,0,13,13
2025,21,"low","yes","low_yes",0.0448466850073788,0.116313831265613,1.77793084867463,7,0,0,8,8
2025,22,"low","yes","low_yes",0.518765827973837,1.15423285833444,4.06116277121062,14,3,0,25,25
2025,23,"low","yes","low_yes",0.243873777032812,0.428609233366672,4.83868594767846,13,1,2,9,11
2025,24,"low","no","low_no",0.161205121317934,0.281883753832323,7.33478802735851,3,0,0,4,4
2025,25,"low","no","low_no",0.0614737219088548,0.107596169623982,3.5866428514397,8,0,10,12,22
2025,26,"low","no","low_no",0.680060882800609,1.45698764955698,4.67783146535513,26,1,7,33,40
2025,27,"low","no","low_no",0.0424568000716268,0.0919986705895315,3.99025490725705,1,3,1,8,9
2025,28,"high","no","high_no",0.00614255112689722,0.0403513547910707,1.61899725748215,1,0,0,2,2
2025,29,"high","no","high_no",0.153563778172431,0.283302251227125,3.7805150030615,9,4,6,13,19
2025,30,"high","no","high_no",0.124974825610136,0.329944078929161,2.72756706790139,4,0,0,5,5
2025,31,"high","no","high_no",0.118804811512478,0.290962888561077,3.56371489668588,6,0,1,6,7
2025,32,"high","yes","high_yes",0.311086446259939,0.77059635948277,4.4690232414108,14,2,2,10,12
2025,33,"high","yes","high_yes",0.40903218763078,0.901288868684001,5.80922264528421,5,4,1,18,19
2025,34,"low","yes","low_yes",0,0.0339000820323416,2.69561475493608,0,0,0,0,0
2025,35,"zero","yes","zero_yes",0.25909314216052,0.514511736048931,5.43505686243,9,1,3,12,15
2025,36,"zero","yes","zero_yes",0.00416855871401325,0.0386582030098656,5.13456081131049,0,0,0,0,0
2025,37,"zero","yes","zero_yes",0.201407683225865,0.359756165790276,4.99566373927246,13,1,2,15,17
2025,38,"zero","yes","zero_yes",0.0874398328943784,0.169548558545031,4.31580920809323,5,0,1,4,5
2025,39,"zero","yes","zero_yes",0.0124602670057215,0.077345057440074,3.94846065823861,1,0,1,2,3
2025,40,"zero","no","zero_no",0.0709014614382868,0.129728073386309,2.81771130224849,0,0,0,0,0
2025,41,"zero","no","zero_no",0.361552235566488,0.73438649074687,4.99030359700594,5,3,2,17,19
2025,42,"zero","no","zero_no",0.535107075676458,0.976922358217827,4.75402351598793,15,3,2,18,20
2025,43,"zero","no","zero_no",0.241562364346694,0.443168623401418,3.5918580564436,6,0,0,6,6
